Symbol: AAPL Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
194,DTSreversal(BUY),Buy to Open,211.0,$11.84,6/10/11,,$7252.06,211.0,
195,DTSreversal(BUY),Buy to Open,214.0,$11.64,6/13/11,,$7262.69,425.0,
196,DTSreversal(BUY),Buy to Open,214.0,$11.66,6/14/11,,$7395.96,639.0,
197,DTSreversal(SELL),Sell to Close,-639.0,$12.26,7/5/11,$348.71,$7642.89,0.0,
198,DTSreversal(BUY),Buy to Open,198.0,$12.61,8/9/11,,$7789.98,198.0,
199,DTSreversal(SELL),Sell to Close,-198.0,$13.69,8/16/11,$213.56,$7856.45,0.0,
200,DTSreversal(BUY),Buy to Open,186.0,$13.38,10/4/11,,$7842.50,186.0,
201,DTSreversal(BUY),Buy to Open,187.0,$13.30,10/5/11,,$7919.10,373.0,
202,DTSreversal(BUY),Buy to Open,189.0,$13.21,10/10/11,,$8188.09,562.0,
203,DTSreversal(SELL),Sell to Close,-562.0,$14.30,10/12/11,$562.06,$8418.51,0.0,
204,DTSreversal(BUY),Buy to Open,184.0,$13.55,11/15/11,,$8481.40,184.0,
205,DTSreversal(BUY),Buy to Open,185.0,$13.48,11/18/11,,$8373.80,369.0,
206,DTSreversal(BUY),Buy to Open,186.0,$13.39,11/21/11,,$8256.26,555.0,
207,DTSreversal(SELL),Sell to Close,-555.0,$14.04,12/6/11,$313.47,$8731.97,0.0,
208,DTSreversal(BUY),Buy to Open,124.0,$20.01,4/25/12,,$8952.16,124.0,
209,DTSreversal(SELL),Sell to Close,-124.0,$21.79,4/26/12,$220.19,$8952.16,0.0,
210,DTSreversal(BUY),Buy to Open,125.0,$19.94,5/15/12,,$8929.62,125.0,
211,DTSreversal(BUY),Buy to Open,126.0,$19.76,5/16/12,,$8866.02,251.0,
212,DTSreversal(BUY),Buy to Open,128.0,$19.50,5/17/12,,$8650.05,379.0,
213,DTSreversal(SELL),Sell to Close,-379.0,$20.73,6/11/12,$377.38,$9329.55,0.0,
214,DTSreversal(BUY),Buy to Open,121.0,$20.53,7/26/12,,$9329.16,121.0,
215,DTSreversal(BUY),Buy to Open,121.0,$20.53,7/27/12,,$9418.01,242.0,
216,DTSreversal(SELL),Sell to Close,-242.0,$21.81,8/1/12,$309.72,$9639.26,0.0,
217,DTSreversal(BUY),Buy to Open,109.0,$22.79,10/9/12,,$9630.23,109.0,
